nodeId:ID|id|name|url|imageFile|creationDate|locationIP|browserUsed|language|content|length|title|firstName|lastName|gender|birthday|type|:LABEL
1|349|OfficeHolder|http://dbpedia.org/ontology/OfficeHolder||||||||||||||tagclass
2|211|Person|http://dbpedia.org/ontology/Person||||||||||||||tagclass
3|239|Agent|http://dbpedia.org/ontology/Agent||||||||||||||tagclass
4|0|Thing|http://www.w3.org/2002/07/owl#Thing||||||||||||||tagclass
5|98|Monarch|http://dbpedia.org/ontology/Monarch||||||||||||||tagclass
6|336|BritishRoyalty|http://dbpedia.org/ontology/BritishRoyalty||||||||||||||tagclass
7|155|Royalty|http://dbpedia.org/ontology/Royalty||||||||||||||tagclass
8|193|Saint|http://dbpedia.org/ontology/Saint||||||||||||||tagclass
9|109|Cleric|http://dbpedia.org/ontology/Cleric||||||||||||||tagclass
10|82|Philosopher|http://dbpedia.org/ontology/Philosopher||||||||||||||tagclass
11|88|Writer|http://dbpedia.org/ontology/Writer||||||||||||||tagclass
12|250|Artist|http://dbpedia.org/ontology/Artist||||||||||||||tagclass
13|57|President|http://dbpedia.org/ontology/President||||||||||||||tagclass
14|95|Politician|http://dbpedia.org/ontology/Politician||||||||||||||tagclass
15|94|SoccerManager|http://dbpedia.org/ontology/SoccerManager||||||||||||||tagclass
16|59|TennisPlayer|http://dbpedia.org/ontology/TennisPlayer||||||||||||||tagclass
17|149|Athlete|http://dbpedia.org/ontology/Athlete||||||||||||||tagclass
18|74|SoccerPlayer|http://dbpedia.org/ontology/SoccerPlayer||||||||||||||tagclass
19|115|MusicalArtist|http://dbpedia.org/ontology/MusicalArtist||||||||||||||tagclass
20|37|FormulaOneRacer|http://dbpedia.org/ontology/FormulaOneRacer||||||||||||||tagclass
21|148|PrimeMinister|http://dbpedia.org/ontology/PrimeMinister||||||||||||||tagclass
22|24|Cricketer|http://dbpedia.org/ontology/Cricketer||||||||||||||tagclass
23|191|GolfPlayer|http://dbpedia.org/ontology/GolfPlayer||||||||||||||tagclass
24|96|Comedian|http://dbpedia.org/ontology/Comedian||||||||||||||tagclass
25|319|Cyclist|http://dbpedia.org/ontology/Cyclist||||||||||||||tagclass
26|279|Scientist|http://dbpedia.org/ontology/Scientist||||||||||||||tagclass
27|226|Judge|http://dbpedia.org/ontology/Judge||||||||||||||tagclass
28|3|MilitaryPerson|http://dbpedia.org/ontology/MilitaryPerson||||||||||||||tagclass
29|230|MartialArtist|http://dbpedia.org/ontology/MartialArtist||||||||||||||tagclass
30|97|ComicsCreator|http://dbpedia.org/ontology/ComicsCreator||||||||||||||tagclass
31|13|IceHockeyPlayer|http://dbpedia.org/ontology/IceHockeyPlayer||||||||||||||tagclass
32|212|Architect|http://dbpedia.org/ontology/Architect||||||||||||||tagclass
33|330|MemberOfParliament|http://dbpedia.org/ontology/MemberOfParliament||||||||||||||tagclass
34|43|Wrestler|http://dbpedia.org/ontology/Wrestler||||||||||||||tagclass
35|200|Actor|http://dbpedia.org/ontology/Actor||||||||||||||tagclass
36|354|BasketballPlayer|http://dbpedia.org/ontology/BasketballPlayer||||||||||||||tagclass
37|141|NascarDriver|http://dbpedia.org/ontology/NascarDriver||||||||||||||tagclass
38|310|BaseballPlayer|http://dbpedia.org/ontology/BaseballPlayer||||||||||||||tagclass
39|332|ChristianBishop|http://dbpedia.org/ontology/ChristianBishop||||||||||||||tagclass
40|355|Chancellor|http://dbpedia.org/ontology/Chancellor||||||||||||||tagclass
41|219|Senator|http://dbpedia.org/ontology/Senator||||||||||||||tagclass
42|61|Band|http://dbpedia.org/ontology/Band||||||||||||||tagclass
43|301|Organisation|http://dbpedia.org/ontology/Organisation||||||||||||||tagclass
44|72|Boxer|http://dbpedia.org/ontology/Boxer||||||||||||||tagclass
45|104|AmericanFootballPlayer|http://dbpedia.org/ontology/AmericanFootballPlayer||||||||||||||tagclass
46|47|GridironFootballPlayer|http://dbpedia.org/ontology/GridironFootballPlayer||||||||||||||tagclass
47|152|SnookerChamp|http://dbpedia.org/ontology/SnookerChamp||||||||||||||tagclass
48|112|SnookerPlayer|http://dbpedia.org/ontology/SnookerPlayer||||||||||||||tagclass
49|347|Governor|http://dbpedia.org/ontology/Governor||||||||||||||tagclass
50|173|Model|http://dbpedia.org/ontology/Model||||||||||||||tagclass
51|295|FictionalCharacter|http://dbpedia.org/ontology/FictionalCharacter||||||||||||||tagclass
52|287|Criminal|http://dbpedia.org/ontology/Criminal||||||||||||||tagclass
53|167|Congressman|http://dbpedia.org/ontology/Congressman||||||||||||||tagclass
54|145|Film|http://dbpedia.org/ontology/Film||||||||||||||tagclass
55|188|Work|http://dbpedia.org/ontology/Work||||||||||||||tagclass
56|339|Astronaut|http://dbpedia.org/ontology/Astronaut||||||||||||||tagclass
57|77|CollegeCoach|http://dbpedia.org/ontology/CollegeCoach||||||||||||||tagclass
58|46|AdultActor|http://dbpedia.org/ontology/AdultActor||||||||||||||tagclass
59|342|Single|http://dbpedia.org/ontology/Single||||||||||||||tagclass
60|123|MusicalWork|http://dbpedia.org/ontology/MusicalWork||||||||||||||tagclass
61|182|Album|http://dbpedia.org/ontology/Album||||||||||||||tagclass
62|180|Song|http://dbpedia.org/ontology/Song||||||||||||||tagclass
63|62|Country|http://dbpedia.org/ontology/Country||||||||||||||tagclass
64|318|PopulatedPlace|http://dbpedia.org/ontology/PopulatedPlace||||||||||||||tagclass
65|303|Place|http://dbpedia.org/ontology/Place||||||||||||||tagclass
66|302|ComicsCharacter|http://dbpedia.org/ontology/ComicsCharacter||||||||||||||tagclass
67|233|EurovisionSongContestEntry|http://dbpedia.org/ontology/EurovisionSongContestEntry||||||||||||||tagclass
68|41|Company|http://dbpedia.org/ontology/Company||||||||||||||tagclass
69|243|MilitaryUnit|http://dbpedia.org/ontology/MilitaryUnit||||||||||||||tagclass
70|242|SportsTeamMember|http://dbpedia.org/ontology/SportsTeamMember||||||||||||||tagclass
71|67|OrganisationMember|http://dbpedia.org/ontology/OrganisationMember||||||||||||||tagclass
72|0|Hamid_Karzai|http://dbpedia.org/resource/Hamid_Karzai||||||||||||||tag
73|1|Rumi|http://dbpedia.org/resource/Rumi||||||||||||||tag
74|2|Mahmud_of_Ghazni|http://dbpedia.org/resource/Mahmud_of_Ghazni||||||||||||||tag
75|3|Abbas_I_of_Persia|http://dbpedia.org/resource/Abbas_I_of_Persia||||||||||||||tag
76|4|Humayun|http://dbpedia.org/resource/Humayun||||||||||||||tag
77|5|Mohammed_Zahir_Shah|http://dbpedia.org/resource/Mohammed_Zahir_Shah||||||||||||||tag
78|6|Augustine_of_Hippo|http://dbpedia.org/resource/Augustine_of_Hippo||||||||||||||tag
79|7|Albert_Camus|http://dbpedia.org/resource/Albert_Camus||||||||||||||tag
80|8|Jorge_Luis_Borges|http://dbpedia.org/resource/Jorge_Luis_Borges||||||||||||||tag
81|9|Che_Guevara|http://dbpedia.org/resource/Che_Guevara||||||||||||||tag
82|10|Juan_Perón|http://dbpedia.org/resource/Juan_Perón||||||||||||||tag
83|11|Diego_Maradona|http://dbpedia.org/resource/Diego_Maradona||||||||||||||tag
84|12|Juan_Ignacio_Chela|http://dbpedia.org/resource/Juan_Ignacio_Chela||||||||||||||tag
85|13|David_Nalbandian|http://dbpedia.org/resource/David_Nalbandian||||||||||||||tag
86|14|Gisela_Dulko|http://dbpedia.org/resource/Gisela_Dulko||||||||||||||tag
87|15|José_de_San_Martín|http://dbpedia.org/resource/José_de_San_Martín||||||||||||||tag
88|16|Paola_Suárez|http://dbpedia.org/resource/Paola_Suárez||||||||||||||tag
89|17|Gastón_Gaudio|http://dbpedia.org/resource/Gastón_Gaudio||||||||||||||tag
90|18|Guillermo_Cañas|http://dbpedia.org/resource/Guillermo_Cañas||||||||||||||tag
91|19|José_Acasuso|http://dbpedia.org/resource/José_Acasuso||||||||||||||tag
92|20|Agustín_Calleri|http://dbpedia.org/resource/Agustín_Calleri||||||||||||||tag
93|21|Juan_Mónaco|http://dbpedia.org/resource/Juan_Mónaco||||||||||||||tag
94|22|Carlos_Menem|http://dbpedia.org/resource/Carlos_Menem||||||||||||||tag
95|23|Lionel_Messi|http://dbpedia.org/resource/Lionel_Messi||||||||||||||tag
96|24|Ástor_Piazzolla|http://dbpedia.org/resource/Ástor_Piazzolla||||||||||||||tag
97|25|Néstor_Kirchner|http://dbpedia.org/resource/Néstor_Kirchner||||||||||||||tag
98|26|Daniel_Barenboim|http://dbpedia.org/resource/Daniel_Barenboim||||||||||||||tag
99|27|Juan_Martín_del_Potro|http://dbpedia.org/resource/Juan_Martín_del_Potro||||||||||||||tag
100|28|Jonathan_Erlich|http://dbpedia.org/resource/Jonathan_Erlich||||||||||||||tag
101|29|Guillermo_Vilas|http://dbpedia.org/resource/Guillermo_Vilas||||||||||||||tag
102|30|Gabriela_Sabatini|http://dbpedia.org/resource/Gabriela_Sabatini||||||||||||||tag
103|31|Lucas_Arnold_Ker|http://dbpedia.org/resource/Lucas_Arnold_Ker||||||||||||||tag
104|32|Juan_Manuel_Fangio|http://dbpedia.org/resource/Juan_Manuel_Fangio||||||||||||||tag
105|33|Cristina_Fernández_de_Kirchner|http://dbpedia.org/resource/Cristina_Fernández_de_Kirchner||||||||||||||tag
106|34|Mariano_Zabaleta|http://dbpedia.org/resource/Mariano_Zabaleta||||||||||||||tag
107|35|Pablo_Cuevas|http://dbpedia.org/resource/Pablo_Cuevas||||||||||||||tag
108|36|Patricia_Tarabini|http://dbpedia.org/resource/Patricia_Tarabini||||||||||||||tag
109|37|Guillermo_Coria|http://dbpedia.org/resource/Guillermo_Coria||||||||||||||tag
110|38|Juan_Manuel_de_Rosas|http://dbpedia.org/resource/Juan_Manuel_de_Rosas||||||||||||||tag
111|39|Carlos_Tévez|http://dbpedia.org/resource/Carlos_Tévez||||||||||||||tag
112|40|Hernán_Crespo|http://dbpedia.org/resource/Hernán_Crespo||||||||||||||tag
113|41|Eva_Perón|http://dbpedia.org/resource/Eva_Perón||||||||||||||tag
114|42|Chris_de_Burgh|http://dbpedia.org/resource/Chris_de_Burgh||||||||||||||tag
115|43|Carlos_Berlocq|http://dbpedia.org/resource/Carlos_Berlocq||||||||||||||tag
116|44|Eduardo_Schwank|http://dbpedia.org/resource/Eduardo_Schwank||||||||||||||tag
117|45|Horacio_Zeballos|http://dbpedia.org/resource/Horacio_Zeballos||||||||||||||tag
